name,ingredients,cuisine,diet
Biryani,"potato, lime, pepper, basil",Greek,Vegan
Masala Dosa,"onion, lentils, potato, pork, beans",Greek,Vegan
Palak Paneer,"spinach, rice, tofu, beef, beans, mint",Japanese,Vegan
Chole Bhature,"tomato, tofu, chili, garlic, ginger, cheese",Indian,Non-Vegetarian
Rajma Chawal,"pepper, lime, potato, basil",Mexican,Vegetarian
Tandoori Chicken,"yogurt, mint, beans, lime, onion",Italian,Vegetarian
Aloo Paratha,"spinach, tomato, lime, pork, basil, garlic, pepper",Thai,Vegetarian
Butter Chicken,"pepper, basil, beef, chicken, onion, carrot, beans",French,Vegetarian
Dhokla,"beans, soy sauce, coconut, onion",Indian,Vegetarian
Sambar,"yogurt, mint, onion, potato, spinach, lime, soy sauce",Japanese,Vegetarian
Spaghetti Carbonara,"tofu, cheese, lime, pork, potato, yogurt",Thai,Vegan
Margherita Pizza,"spinach, cheese, garlic, carrot, ginger",Thai,Non-Vegetarian
Lasagna,"beef, mint, ginger, lentils, basil, chicken",Greek,Non-Vegetarian
Risotto,"cheese, chicken, lime, potato, soy sauce",Thai,Vegetarian
Fettuccine Alfredo,"pork, beans, noodles, potato, cheese, chili, beef",French,Non-Vegetarian
Bruschetta,"tomato, garlic, noodles, cheese, pork",Japanese,Vegetarian
Tiramisu,"yogurt, ginger, cheese, tomato",Indian,Vegetarian
Gnocchi,"cheese, lentils, spinach, lime, basil, mint, pork",Italian,Vegetarian
Caprese Salad,"onion, chicken, soy sauce, beef, tofu, mint, beans",Greek,Vegan
Panna Cotta,"soy sauce, lime, beans, carrot",Italian,Non-Vegetarian
Sushi,"basil, tofu, noodles, chili, spinach, chicken, beef",French,Vegan
Ramen,"pork, soy sauce, ginger, rice",Thai,Vegan
Tempura,"coconut, tofu, lentils, yogurt, carrot, chicken",Italian,Vegan
Udon,"coconut, cheese, rice, noodles, potato, beef",French,Non-Vegetarian
Miso Soup,"pepper, potato, tomato, onion",Italian,Vegan
Okonomiyaki,"ginger, chili, pork, onion, rice, chicken",Thai,Vegan
Yakitori,"mint, garlic, chili, noodles, tofu, tomato, ginger",Mexican,Non-Vegetarian
Tonkatsu,"spinach, mint, garlic, tomato, chili, rice, yogurt",Greek,Vegetarian
Onigiri,"coconut, spinach, yogurt, pepper",Greek,Vegetarian
Sashimi,"yogurt, spinach, rice, lentils, pork, chili",Thai,Non-Vegetarian
Tacos,"lime, chili, potato, tofu, carrot, rice, mint",French,Vegetarian
Enchiladas,"lentils, yogurt, soy sauce, beef, chicken, onion, potato",French,Vegan
Guacamole,"chicken, spinach, chili, garlic, onion",French,Vegan
Tamales,"chicken, lime, potato, tofu, pork, tomato, ginger",Japanese,Non-Vegetarian
Quesadillas,"beans, pepper, cheese, chili, yogurt",Thai,Vegan
Churros,"tomato, cheese, rice, chicken, tofu, coconut",Indian,Vegetarian
Burrito,"potato, carrot, cheese, noodles, beef",French,Vegetarian
Nachos,"basil, pepper, soy sauce, chili, chicken",Indian,Vegan
Pozole,"garlic, lime, tofu, beef, chili, pork",Indian,Vegan
Salsa,"chicken, tomato, pepper, noodles, spinach, tofu, rice",Japanese,Non-Vegetarian
Kung Pao Chicken,"coconut, garlic, basil, mint, yogurt",Chinese,Non-Vegetarian
Dumplings,"mint, garlic, spinach, cheese, ginger, carrot",Indian,Vegan
Sweet and Sour Pork,"garlic, pork, pepper, lentils",Indian,Vegetarian
Chow Mein,"lentils, onion, ginger, potato, mint, noodles",Italian,Vegan
Spring Rolls,"potato, tofu, beans, soy sauce",French,Non-Vegetarian
Hot Pot,"lentils, beef, chicken, rice, garlic, noodles",Greek,Vegan
Peking Duck,"cheese, yogurt, pork, basil, chicken, chili",Italian,Non-Vegetarian
